date,version,usage
"Jul 24, 2015",4.2.20.Final,95
"Apr 15, 2015",4.2.19.Final,18
"Jan 29, 2015",4.2.18.Final,15
"Jan 05, 2015",4.2.17.Final,21
"Oct 30, 2014",4.2.16.Final,31
"Jul 17, 2014",4.2.15.Final,45
"Jun 26, 2014",4.2.14.Final,14
"May 28, 2014",4.2.13.Final,30
"Apr 08, 2014",4.2.12.Final,37
"Mar 17, 2014",4.2.11.Final,21
"Feb 28, 2014",4.2.10.Final,15
"Feb 27, 2014",4.2.9.Final,11
"Dec 04, 2013",4.2.8.Final,38
"Oct 23, 2013",4.2.7.SP1,28
"Oct 23, 2013",4.2.7.Final,36
"Sep 25, 2013",4.2.6.Final,41
"Aug 28, 2013",4.2.5.Final,28
"Aug 08, 2013",4.2.4.Final,26
"Jul 03, 2013",4.2.3.Final,37
"May 22, 2013",4.2.2.Final,31
"Apr 25, 2013",4.2.1.Final,42
"Jul 08, 2013",4.2.0.SP1,31
"Mar 18, 2013",4.2.0.Final,64
"Mar 02, 2013",4.2.0.CR2,9
"Jan 31, 2013",4.2.0.CR1,25
"Apr 25, 2013",4.1.12.Final,42
"Mar 18, 2013",4.1.11.Final,18
"Feb 20, 2013",4.1.10.Final,20
"Dec 13, 2012",4.1.9.Final,58
"Nov 01, 2012",4.1.8.Final,24
"Sep 06, 2012",4.1.7.Final,84
"Aug 08, 2012",4.1.6.Final,54
"Jul 12, 2012",4.1.5.SP1,11
"Jul 12, 2012",4.1.5.Final,10
"May 31, 2012",4.1.4.Final,40
"May 03, 2012",4.1.3.Final,22
"Apr 05, 2012",4.1.2.Final,12
"Apr 04, 2012",4.1.2,12
"Mar 08, 2012",4.1.1.Final,21
"Feb 09, 2012",4.1.0.Final,39
"Jan 11, 2012",4.0.1.Final,70
"Dec 15, 2011",4.0.0.Final,25
"Dec 01, 2011",4.0.0.CR7,9
"Nov 10, 2011",4.0.0.CR6,15
"Oct 27, 2011",4.0.0.CR5,17
"Sep 29, 2011",4.0.0.CR4,8
"Sep 15, 2011",4.0.0.CR3,9
"Sep 01, 2011",4.0.0.CR2,12
"Aug 18, 2011",4.0.0.CR1,8
"Aug 03, 2011",4.0.0.Beta5,10
"Jul 21, 2011",4.0.0.Beta4,7
"Jul 07, 2011",4.0.0.Beta3,7
"Jun 22, 2011",4.0.0.Beta2,9
"Jun 09, 2011",4.0.0.Beta1,13
"May 05, 2011",4.0.0.Alpha3,7
"Apr 06, 2011",4.0.0.Alpha2,7
"Mar 10, 2011",4.0.0.Alpha1,6
"Feb 09, 2012",3.6.10.Final,240
"Dec 15, 2011",3.6.9.Final,107
"Oct 27, 2011",3.6.8.Final,66
"Aug 17, 2011",3.6.7.Final,65
"Jul 21, 2011",3.6.6.Final,73
"Jun 09, 2011",3.6.5.Final,23
"May 04, 2011",3.6.4.Final,29
"Apr 06, 2011",3.6.3.Final,40
"Mar 10, 2011",3.6.2.Final,22
"Feb 03, 2011",3.6.1.Final,35
"Oct 14, 2010",3.6.0.Final,75
"Sep 29, 2010",3.6.0.CR2,10
"Sep 15, 2010",3.6.0.CR1,10
"Sep 01, 2010",3.6.0.Beta4,10
"Aug 18, 2010",3.6.0.Beta3,11
"Aug 04, 2010",3.6.0.Beta2,14
"Jul 21, 2010",3.6.0.Beta1,16
"Sep 15, 2010",3.5.6-Final,52
"Aug 18, 2010",3.5.5-Final,33
"Jul 21, 2010",3.5.4-Final,52
"Jun 17, 2010",3.5.3-Final,20
"May 13, 2010",3.5.2-Final,31
"Apr 15, 2010",3.5.1-Final,59
"Mar 31, 2010",3.5.0-Final,43
"Feb 25, 2010",3.5.0-CR-2,22
"Feb 10, 2010",3.5.0-CR-1,21
"Jan 29, 2010",3.5.0-Beta-4,16
"Jan 14, 2010",3.5.0-Beta-3,16
"Nov 02, 2009",3.5.0-Beta-2,25
"Aug 20, 2009",3.5.0.Beta-1,16
"Aug 21, 2009",3.3.2.GA,383
"Sep 26, 2008",3.3.1.GA,150
"Sep 26, 2008",3.3.0.SP1,42
"Sep 26, 2008",3.3.0.GA,14
"Sep 26, 2008",3.3.0.CR2,14
"Sep 26, 2008",3.3.0.CR1,19
